OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2019-08-07,0.704,0.726,0.681,0.691,4998261.74600000,,,,,0.346
2019-08-08,0.693,0.777,0.658,0.726,8792651.56200000,,,,,0.369
2019-08-09,0.728,0.841,0.688,0.81,15089865.86300000,,,,,0.385
2019-08-10,0.809,0.863,0.761,0.809,10668919.72000000,,,,,0.368
2019-08-11,0.811,0.88,0.803,0.819,7440526.26000000,,,,,0.365
2019-08-12,0.817,0.819,0.767,0.803,4923044.11200000,,,,,0.349
2019-08-13,0.804,0.845,0.781,0.809,4011887.65200000,,,,,0.319
2019-08-14,0.807,0.849,0.711,0.718,7824309.95600000,,,,,0.318
2019-08-15,0.719,0.777,0.689,0.709,6667637.95900000,,,,,0.321
2019-08-16,0.708,0.735,0.676,0.677,4553264.19100000,,,,,0.328
2019-08-17,0.677,0.726,0.675,0.683,3163205.80800000,,,,,0.322
2019-08-18,0.686,0.697,0.664,0.676,2153045.74000000,,,,,0.319
2019-08-19,0.677,0.68,0.65,0.655,3621870.52800000,,,,,0.34
2019-08-20,0.655,0.656,0.603,0.625,6968706.92300000,,,,,0.322
2019-08-21,0.626,0.627,0.559,0.567,6191231.88300000,,,,,0.321
2019-08-22,0.569,0.592,0.531,0.572,4715468.29900000,,,,,0.315
2019-08-23,0.573,0.589,0.546,0.576,3254119.07800000,,,,,0.3
2019-08-24,0.574,0.58,0.542,0.577,2273667.50700000,,,,,0.267
2019-08-25,0.578,0.582,0.53,0.538,2998434.09400000,,,,,0.193
2019-08-26,0.539,0.56,0.518,0.522,2439118.18100000,0.6990000000000001,,,,0.205
2019-08-27,0.522,0.552,0.509,0.523,3189090.38800000,0.6945,,,,0.189
2019-08-28,0.523,0.536,0.428,0.436,6155505.51700000,0.654,,,,0.189
2019-08-29,0.436,0.446,0.39,0.401,6561137.68300000,0.635,,,,0.204
2019-08-30,0.401,0.425,0.397,0.418,4285344.00400000,0.635,,,,0.225
2019-08-31,0.417,0.433,0.395,0.408,3175868.04100000,0.6194999999999999,,,,0.25
2019-09-01,0.408,0.419,0.379,0.388,2651579.46700000,0.614,,,,0.231
2019-09-02,0.388,0.395,0.373,0.393,3841348.32500000,0.611,,,,0.233
2019-09-03,0.394,0.404,0.364,0.368,3032795.52100000,0.5705,,,,0.23
2019-09-04,0.368,0.37,0.343,0.346,3669691.25400000,0.539,,,,0.229
2019-09-05,0.346,0.395,0.338,0.388,7100033.37600000,0.532,,,,0.224
2019-09-06,0.388,0.42,0.341,0.346,8724500.77400000,0.5175,,,,0.213
2019-09-07,0.346,0.387,0.338,0.369,6019303.69900000,0.509,,,,0.219
2019-09-08,0.369,0.388,0.349,0.385,3134753.23700000,0.497,,,,0.226
2019-09-09,0.384,0.392,0.353,0.368,4372297.48100000,0.48250000000000004,,,,0.239
2019-09-10,0.37,0.395,0.362,0.365,4714902.01100000,0.46499999999999997,,,,0.253
2019-09-11,0.365,0.372,0.342,0.349,3244647.94100000,0.4635,,,,0.253
2019-09-12,0.348,0.35,0.31,0.319,5518828.62200000,0.44599999999999995,,,,0.257
2019-09-13,0.32,0.345,0.312,0.318,3380391.87700000,0.44599999999999995,,,,0.251
2019-09-14,0.318,0.325,0.308,0.321,2606229.76900000,0.43400000000000005,,,,0.267
2019-09-15,0.32,0.341,0.319,0.328,4267315.30300000,0.43000000000000005,,,,0.248
2019-09-16,0.329,0.337,0.314,0.322,2997342.27300000,0.42200000000000004,,,,0.228
2019-09-17,0.323,0.334,0.308,0.319,6171703.19400000,0.377,,,,0.237
2019-09-18,0.319,0.36,0.316,0.34,8809182.57200000,0.3705,,,,0.226
2019-09-19,0.341,0.341,0.307,0.322,5386304.10800000,0.37,,,,0.223
2019-09-20,0.322,0.33,0.313,0.321,2787433.37700000,0.3635,,,,0.224
2019-09-21,0.32,0.325,0.314,0.315,2184202.21000000,0.3635,,,,0.2262
2019-09-22,0.315,0.322,0.296,0.3,4746257.73100000,0.358,,,,0.2183
2019-09-23,0.3,0.301,0.267,0.267,5018748.88800000,0.3435,,,,0.2
2019-09-24,0.268,0.282,0.179,0.193,11382802.22700000,0.2995,,,,0.201
2019-09-25,0.193,0.216,0.192,0.205,7989599.30700000,0.2995,,,,0.2131
2019-09-26,0.205,0.207,0.164,0.189,24279989.88100000,0.2795,,,,0.2156
2019-09-27,0.19,0.198,0.177,0.189,8852661.14500000,0.2795,,,,0.2181
2019-09-28,0.19,0.208,0.187,0.204,6185913.40500000,0.2795,,,,0.2301
2019-09-29,0.204,0.243,0.197,0.225,19751284.97200000,0.2795,,,,0.2262
2019-09-30,0.224,0.257,0.213,0.25,12167825.85200000,0.268,,,,0.211
2019-10-01,0.25,0.266,0.226,0.231,14560932.53400000,0.262,,,,0.221
2019-10-02,0.232,0.24,0.22,0.233,7810945.43200000,0.262,,,,0.2596
2019-10-03,0.233,0.239,0.221,0.23,5249511.59700000,0.262,,,,0.2584
2019-10-04,0.23,0.236,0.222,0.229,5101699.43900000,0.262,,,,0.2639
2019-10-05,0.229,0.232,0.219,0.224,2930629.65000000,0.262,0.522,,,0.2577
2019-10-06,0.224,0.227,0.21,0.213,6734272.41300000,0.262,0.522,,,0.2834
2019-10-07,0.213,0.224,0.205,0.219,4925596.57300000,0.262,0.522,,,0.2843
2019-10-08,0.219,0.234,0.214,0.226,5140102.02800000,0.2525,0.522,,,0.2709
2019-10-09,0.226,0.245,0.225,0.239,8811952.65300000,0.247,0.522,,,0.2556
2019-10-10,0.238,0.269,0.232,0.253,11325621.54200000,0.2445,0.5065,,,0.2623
2019-10-11,0.253,0.276,0.249,0.253,12595567.52400000,0.243,0.5065,,,0.2674
2019-10-12,0.252,0.262,0.244,0.257,7706971.41100000,0.23249999999999998,0.5065,,,0.2826
2019-10-13,0.257,0.268,0.246,0.251,8989474.75800000,0.22299999999999998,0.47050000000000003,,,0.2726
2019-10-14,0.251,0.268,0.247,0.267,4038160.90700000,0.22000000000000003,0.4495,,,0.2873
2019-10-15,0.267,0.273,0.245,0.248,4917032.38600000,0.22000000000000003,0.445,,,0.277
