OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2019-08-06,233.53,239.15,223.03,226.28,341279.08159000,,,,,173.75
2019-08-07,226.31,231.25,220.95,226.1,279104.70370000,,,,,169.08
2019-08-08,226.11,228.5,215.51,221.39,236886.35423000,,,,,177.62
2019-08-09,221.38,221.79,207.3,210.53,232062.12757000,,,,,181.19
2019-08-10,210.52,215.0,202.6,206.48,252614.02389000,,,,,180.54
2019-08-11,206.48,216.94,206.14,216.42,188474.09048000,,,,,179.81
2019-08-12,216.41,216.81,209.75,211.41,122760.94619000,,,,,178.28
2019-08-13,211.58,214.3,204.0,209.3,166922.48201000,,,,,180.72
2019-08-14,209.31,209.9,183.49,187.1,325228.98931000,,,,,180.95
2019-08-15,187.08,189.95,181.23,188.03,237953.09426000,,,,,188.13
2019-08-16,187.98,188.39,178.04,184.88,282177.01584000,,,,,189.03
2019-08-17,184.83,187.0,181.83,185.59,138799.61508000,,,,,197.22
2019-08-18,185.67,197.91,183.35,194.33,175363.50620000,,,,,207.84
2019-08-19,194.32,203.59,192.7,202.28,239541.59780000,,,,,210.21
2019-08-20,202.24,202.75,194.45,196.6,189297.75494000,,,,,220.24
2019-08-21,196.55,197.2,179.53,187.45,284973.64194000,,,,,218.03
2019-08-22,187.45,195.14,182.8,190.35,245575.98772000,,,,,215.05
2019-08-23,190.36,196.19,188.16,194.02,192548.51552000,,,,,211.2
2019-08-24,194.02,194.09,185.63,190.6,167806.34294000,,,,,201.29
2019-08-25,190.6,192.4,182.8,186.54,169862.91522000,208.595,,,,165.81
2019-08-26,186.54,193.7,186.0,188.67,254397.79472000,204.64499999999998,,,,169.96
2019-08-27,188.61,189.49,184.75,187.24,157898.56300000,203.26999999999998,,,,165.92
2019-08-28,187.3,188.25,166.48,173.03,334480.61761000,194.135,,,,173.79
2019-08-29,173.03,173.5,163.61,169.01,295241.21600000,190.275,,,,173.49
2019-08-30,169.03,170.77,165.55,168.5,238616.68868000,190.275,,,,169.24
2019-08-31,168.48,174.98,165.63,171.57,194999.19583000,190.21,,,,180.85
2019-09-01,171.52,173.42,167.61,170.74,191140.52368000,188.955,,,,175.66
2019-09-02,170.73,181.0,170.02,178.05,294627.31247000,186.755,,,,180.24
2019-09-03,178.0,183.0,174.09,178.75,327857.85447000,183.60000000000002,,,,174.69
