OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2019-08-07,2.4822,2.5,2.3502,2.3826,3394545.70000000,,,,,1.7226
2019-08-08,2.3883,2.3998,2.2713,2.2755,2864214.00000000,,,,,1.7672
2019-08-09,2.2784,2.2919,2.151,2.1669,2368990.80000000,,,,,1.8275
2019-08-10,2.169,2.4091,2.1306,2.3336,5262480.44000000,,,,,1.7872
2019-08-11,2.3336,2.49,2.2901,2.415,3709082.70000000,,,,,1.7998
2019-08-12,2.4165,2.479,2.335,2.39,2574671.09000000,,,,,1.7301
2019-08-13,2.3868,2.4679,2.306,2.4229,3152764.71000000,,,,,1.7073
2019-08-14,2.419,2.6031,2.163,2.2842,6940625.71000000,,,,,1.5759
2019-08-15,2.284,2.4506,2.2565,2.4232,2808342.69000000,,,,,1.5634
2019-08-16,2.4225,2.459,2.227,2.3,3572488.27000000,,,,,1.6104
2019-08-17,2.3046,2.419,2.282,2.4036,2035414.39000000,,,,,1.5806
2019-08-18,2.405,2.5657,2.3729,2.5051,3610567.41000000,,,,,1.624
2019-08-19,2.5055,2.6,2.4508,2.4958,4288720.33000000,,,,,1.801
2019-08-20,2.4943,2.5401,2.3354,2.3624,3477390.83000000,,,,,1.8744
2019-08-21,2.3622,2.371,2.15,2.2054,4952696.55000000,,,,,1.8245
2019-08-22,2.2058,2.2896,2.135,2.2227,2981137.74000000,,,,,1.8855
2019-08-23,2.2231,2.295,2.1723,2.2333,4173130.85000000,,,,,1.8157
2019-08-24,2.234,2.2545,2.1537,2.1681,1634146.80000000,,,,,1.8048
2019-08-25,2.1704,2.1804,2.0255,2.078,2772672.99000000,,,,,1.716
2019-08-26,2.0783,2.1546,2.045,2.0739,2291314.91000000,2.3143000000000002,,,,1.7443
2019-08-27,2.0737,2.1788,2.005,2.1128,3009068.12000000,2.30405,,,,1.6512
2019-08-28,2.1098,2.1134,1.875,1.8957,3217225.93000000,2.2390499999999998,,,,1.659
2019-08-29,1.8956,1.8956,1.7253,1.7744,4211077.18000000,2.1642,,,,1.6742
2019-08-30,1.7763,1.8913,1.7365,1.796,2660522.10000000,2.1642,,,,1.7002
2019-08-31,1.7958,1.8535,1.74,1.7791,1831969.16000000,2.1642,,,,1.7677
2019-09-01,1.7788,1.8,1.717,1.7686,1332701.68000000,2.16005,,,,1.8286
2019-09-02,1.7696,1.89,1.7272,1.8287,3044387.69000000,2.16005,,,,2.011
2019-09-03,1.8307,1.9424,1.8147,1.849,3208754.39000000,2.1585,,,,1.9442
2019-09-04,1.8486,1.87,1.7167,1.7784,3579394.12000000,2.15835,,,,1.9663
2019-09-05,1.7793,1.8624,1.768,1.7921,2744215.93000000,2.15835,,,,1.9624
2019-09-06,1.7919,1.86,1.6767,1.7226,3184048.39000000,2.13835,,,,2.1669
