OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2020-04-12 00:00:00,42.54,42.81,41.83,42.46,172588.15011000,,,,,44.49
2020-04-12 12:00:00,42.46,43.58,41.93,42.0,326668.88246000,,,,,44.46
2020-04-13 00:00:00,41.99,41.99,39.52,40.68,486029.06933000,,,,,44.47
2020-04-13 12:00:00,40.68,41.52,39.86,41.22,258085.44373000,,,,,45.69
2020-04-14 00:00:00,41.2,41.79,40.47,40.98,212958.21574000,,,,,46.74
2020-04-14 12:00:00,40.98,41.85,40.8,41.22,207879.47258000,,,,,48.81
2020-04-15 00:00:00,41.19,41.75,40.51,40.82,204287.52349000,,,,,46.9
2020-04-15 12:00:00,40.82,40.82,39.08,39.22,256040.63961000,,,,,46.33
2020-04-16 00:00:00,39.24,43.78,37.91,42.25,627005.80535000,,,,,48.0
2020-04-16 12:00:00,42.26,43.04,41.86,42.53,286081.17236000,,,,,47.07
2020-04-17 00:00:00,42.52,42.73,41.61,42.01,243965.41226000,,,,,47.22
2020-04-17 12:00:00,42.0,43.01,41.71,42.19,163657.63361000,,,,,49.2
2020-04-18 00:00:00,42.2,42.82,41.98,42.46,167502.34794000,,,,,48.92
2020-04-18 12:00:00,42.46,44.43,42.34,44.14,329602.59477000,,,,,48.05
2020-04-19 00:00:00,44.16,44.3,42.61,43.23,238245.79740000,,,,,45.89
2020-04-19 12:00:00,43.24,43.34,41.54,42.23,217960.01512000,,,,,46.96
2020-04-20 00:00:00,42.23,43.24,41.16,41.18,191807.25397000,,,,,46.19
2020-04-20 12:00:00,41.18,42.1,39.55,40.21,352032.80286000,,,,,46.54
2020-04-21 00:00:00,40.21,41.04,40.01,40.19,164508.72349000,,,,,47.4
2020-04-21 12:00:00,40.17,41.34,40.11,40.59,182223.36143000,41.17,,,,44.94
2020-04-22 00:00:00,40.59,41.14,40.27,41.05,174645.78598000,41.17,,,,45.59
2020-04-22 12:00:00,41.05,42.32,40.93,41.8,288465.54083000,41.17,,,,47.37
2020-04-23 00:00:00,41.81,42.26,40.94,41.78,209524.57691000,41.17,,,,46.97
2020-04-23 12:00:00,41.79,43.91,41.7,42.98,429811.47621000,41.17,,,,47.69
2020-04-24 00:00:00,42.98,44.99,42.83,43.92,331646.88066000,41.45,,,,47.54
2020-04-24 12:00:00,43.9,44.94,43.3,44.53,292230.29628000,41.45,,,,46.95
2020-04-25 00:00:00,44.52,45.58,43.84,44.61,280344.30149000,41.745,,,,42.37
2020-04-25 12:00:00,44.61,45.53,43.97,44.38,275022.88575000,41.745,,,,42.06
2020-04-26 00:00:00,44.38,45.22,44.21,45.02,199785.63048000,42.565,,,,42.07
2020-04-26 12:00:00,45.01,45.39,43.75,44.52,285819.52545000,42.565,,,,41.51
2020-04-27 00:00:00,44.54,45.23,44.07,44.49,208857.82495000,42.565,,,,42.66
2020-04-27 12:00:00,44.51,44.55,43.16,44.46,234712.83534000,42.565,,,,42.18
2020-04-28 00:00:00,44.47,44.89,43.42,44.47,269172.63527000,42.565,,,,42.51
2020-04-28 12:00:00,44.5,46.13,44.03,45.69,320839.88777000,42.84,,,,43.18
2020-04-29 00:00:00,45.69,47.22,45.64,46.74,417659.11492000,43.385,,,,43.9
2020-04-29 12:00:00,46.75,49.91,46.73,48.81,780427.78567000,44.73,,,,43.98
2020-04-30 00:00:00,48.81,50.8,45.59,46.9,945596.81122000,45.175,,,,43.53
2020-04-30 12:00:00,46.9,47.75,45.78,46.33,458592.72198000,45.405,,,,42.74
2020-05-01 00:00:00,46.33,48.27,46.3,48.0,260491.94129000,45.455,,,,43.32
2020-05-01 12:00:00,47.98,48.1,46.46,47.07,239266.02496000,45.535,,,,43.25
2020-05-02 00:00:00,47.08,47.54,46.73,47.22,110049.16944000,45.864999999999995,,,,44.1
2020-05-02 12:00:00,47.21,49.6,47.2,49.2,298929.98052000,45.87,,,,43.71
2020-05-03 00:00:00,49.2,50.02,48.17,48.92,255591.13846000,46.25,,,,45.13
2020-05-03 12:00:00,48.93,48.99,46.61,48.05,310726.24235000,46.815,,,,45.32
2020-05-04 00:00:00,48.07,48.2,45.11,45.89,407525.01578000,46.98,,,,45.11
2020-05-04 12:00:00,45.9,47.35,45.75,46.96,285841.99514000,46.98,,,,45.73
2020-05-05 00:00:00,46.97,47.76,45.71,46.19,266018.75748000,46.98,,,,45.37
2020-05-05 12:00:00,46.18,46.89,46.01,46.54,149038.68014000,46.98,,,,44.25
2020-05-06 00:00:00,46.56,47.48,46.11,47.4,195395.25806000,46.98,,,,44.0
2020-05-06 12:00:00,47.41,47.55,44.55,44.94,270846.46979000,46.98,,,,42.73
2020-05-07 00:00:00,44.92,46.42,44.37,45.59,249063.59298000,46.98,,,,43.78
2020-05-07 12:00:00,45.59,48.22,45.42,47.37,546998.00635000,47.11,,,,44.23
2020-05-08 00:00:00,47.37,48.35,46.34,46.97,278933.54568000,47.415,,,,44.05
2020-05-08 12:00:00,46.97,48.43,46.68,47.69,352949.26468000,47.584999999999994,,,,43.85
2020-05-09 00:00:00,47.7,49.1,46.75,47.54,443490.10402000,47.584999999999994,,,,43.82
2020-05-09 12:00:00,47.54,48.6,46.89,46.95,212709.89448000,47.584999999999994,,,,42.08
2020-05-10 00:00:00,46.97,47.04,39.4,42.37,905725.18749000,44.71,,,,42.72
2020-05-10 12:00:00,42.36,42.67,39.81,42.06,498355.98799000,44.71,,,,42.97
2020-05-11 00:00:00,42.05,42.83,40.9,42.07,308731.10940000,44.71,,,,42.55
2020-05-11 12:00:00,42.08,42.9,39.37,41.51,646912.59865000,44.695,44.355,,,42.27
2020-05-12 00:00:00,41.49,42.73,41.31,42.66,248182.22376000,44.695,44.355,,,43.57
2020-05-12 12:00:00,42.66,42.88,41.26,42.18,350109.41619000,44.695,44.355,,,43.85
2020-05-13 00:00:00,42.18,42.66,41.94,42.51,138783.68927000,44.235,44.355,,,43.65
2020-05-13 12:00:00,42.52,43.74,42.4,43.18,265740.55796000,44.235,44.355,,,44.77
2020-05-14 00:00:00,43.18,44.38,42.21,43.9,309197.29157000,44.235,44.355,,,44.51
2020-05-14 12:00:00,43.9,44.3,43.03,43.98,198239.05817000,44.235,44.355,,,44.47
2020-05-15 00:00:00,43.99,44.14,42.45,43.53,212457.79078000,44.235,44.355,,,46.82
2020-05-15 12:00:00,43.53,43.63,41.82,42.74,256378.41935000,44.235,44.355,,,47.72
2020-05-16 00:00:00,42.73,43.89,42.5,43.32,259349.51920000,44.235,45.084999999999994,,,47.28
2020-05-16 12:00:00,43.32,43.7,42.73,43.25,176590.88777000,44.235,45.084999999999994,,,45.61
2020-05-17 00:00:00,43.25,44.39,43.1,44.1,155527.59633000,44.235,45.084999999999994,,,45.83
2020-05-17 12:00:00,44.11,44.49,43.52,43.71,188971.12873000,44.235,45.084999999999994,,,48.25
2020-05-18 00:00:00,43.7,46.59,43.64,45.13,491763.80929000,44.235,45.084999999999994,,,49.67
2020-05-18 12:00:00,45.13,45.6,44.67,45.32,202597.79322000,44.235,45.084999999999994,,,45.99
2020-05-19 00:00:00,45.33,45.65,44.07,45.11,218320.12433000,43.985,45.084999999999994,,,46.69
2020-05-19 12:00:00,45.12,45.8,44.55,45.73,157597.52792000,43.205,45.084999999999994,,,47.16
2020-05-20 00:00:00,45.73,46.14,45.23,45.37,233704.59146000,42.980000000000004,45.084999999999994,,,47.35
2020-05-20 12:00:00,45.37,45.84,43.17,44.25,312550.41454000,42.980000000000004,45.084999999999994,,,47.43
2020-05-21 00:00:00,44.24,44.62,43.28,44.0,183051.30429000,42.980000000000004,45.084999999999994,,,47.24
2020-05-21 12:00:00,44.0,44.06,41.66,42.73,321770.58708000,43.925,45.084999999999994,,,46.83
2020-05-22 00:00:00,42.72,43.89,42.35,43.78,214759.04634000,43.925,45.084999999999994,,,47.06
2020-05-22 12:00:00,43.77,44.68,43.34,44.23,183646.49222000,44.125,45.084999999999994,,,46.79
2020-05-23 00:00:00,44.22,44.74,43.72,44.05,132727.41973000,44.125,45.084999999999994,,,46.04
2020-05-23 12:00:00,44.04,44.33,43.67,43.85,104811.71867000,44.125,45.084999999999994,,,46.63
2020-05-24 00:00:00,43.84,44.55,43.7,43.82,155676.43083000,44.125,45.084999999999994,,,46.52
2020-05-24 12:00:00,43.81,44.0,42.04,42.08,204656.81789000,44.125,45.084999999999994,,,46.43
2020-05-25 00:00:00,42.08,43.32,41.72,42.72,154406.10859000,44.125,45.084999999999994,,,46.22
2020-05-25 12:00:00,42.73,43.24,42.57,42.97,96508.41882000,44.125,45.084999999999994,,,45.87
2020-05-26 00:00:00,42.99,43.07,42.33,42.55,106454.85252000,44.125,45.084999999999994,,,45.81
2020-05-26 12:00:00,42.54,42.66,41.76,42.27,112235.19211000,44.125,45.084999999999994,44.525,,46.63
2020-05-27 00:00:00,42.26,43.66,42.22,43.57,142538.38520000,44.125,45.084999999999994,44.525,,46.24
2020-05-27 12:00:00,43.59,44.05,43.31,43.85,140269.07714000,44.125,45.084999999999994,44.525,,43.22
2020-05-28 00:00:00,43.86,44.11,43.15,43.65,127439.72550000,43.9,45.084999999999994,44.295,,44.44
2020-05-28 12:00:00,43.65,44.88,43.62,44.77,163918.74786000,43.9,45.084999999999994,44.295,,44.72
2020-05-29 00:00:00,44.77,45.29,44.17,44.51,187405.00579000,43.9,45.084999999999994,44.295,,44.56
2020-05-29 12:00:00,44.5,44.92,44.28,44.47,111316.58735000,43.9,45.084999999999994,44.295,,45.08
2020-05-30 00:00:00,44.49,47.07,44.18,46.82,268908.49146000,44.364999999999995,44.695,44.295,,44.5
2020-05-30 12:00:00,46.8,48.08,46.28,47.72,321162.06204000,44.87,44.695,44.295,,44.05
2020-05-31 00:00:00,47.72,47.84,46.11,47.28,226608.73734000,44.87,44.695,44.66,,42.76
2020-05-31 12:00:00,47.28,47.58,45.07,45.61,267467.44939000,44.9,44.695,44.66,,43.73
