OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2020-04-12 00:00:00,7.24e-06,7.46e-06,7.21e-06,7.42e-06,1571842.00000000,,,,,8.17e-06
2020-04-12 12:00:00,7.42e-06,7.76e-06,7.32e-06,7.6e-06,3806145.00000000,,,,,8.49e-06
2020-04-13 00:00:00,7.6e-06,7.63e-06,7.29e-06,7.37e-06,2845772.00000000,,,,,8.45e-06
2020-04-13 12:00:00,7.39e-06,7.52e-06,7.31e-06,7.48e-06,1151536.00000000,,,,,8.49e-06
2020-04-14 00:00:00,7.48e-06,7.75e-06,7.41e-06,7.67e-06,2022736.00000000,,,,,8.26e-06
2020-04-14 12:00:00,7.69e-06,7.7e-06,7.53e-06,7.53e-06,1350890.00000000,,,,,8.05e-06
2020-04-15 00:00:00,7.55e-06,7.58e-06,7.16e-06,7.39e-06,2131581.00000000,,,,,7.68e-06
2020-04-15 12:00:00,7.39e-06,7.9e-06,7.27e-06,7.43e-06,3942953.00000000,,,,,7.81e-06
2020-04-16 00:00:00,7.45e-06,7.65e-06,7.41e-06,7.46e-06,1697461.00000000,,,,,7.6e-06
2020-04-16 12:00:00,7.46e-06,7.87e-06,7.44e-06,7.71e-06,5589931.00000000,,,,,7.66e-06
2020-04-17 00:00:00,7.73e-06,7.96e-06,7.65e-06,7.8e-06,2978344.00000000,,,,,7.53e-06
2020-04-17 12:00:00,7.82e-06,8.5e-06,7.8e-06,8.35e-06,8301216.00000000,,,,,7.49e-06
2020-04-18 00:00:00,8.39e-06,8.76e-06,8.3e-06,8.7e-06,4132474.00000000,,,,,7.26e-06
2020-04-18 12:00:00,8.72e-06,8.96e-06,8.34e-06,8.57e-06,7009583.00000000,,,,,7.27e-06
2020-04-19 00:00:00,8.59e-06,8.59e-06,8.33e-06,8.37e-06,2030996.00000000,,,,,7.2e-06
2020-04-19 12:00:00,8.36e-06,8.54e-06,8.01e-06,8.45e-06,5893706.00000000,,,,,7.16e-06
2020-04-20 00:00:00,8.43e-06,8.71e-06,8.29e-06,8.46e-06,2288983.00000000,,,,,7.22e-06
2020-04-20 12:00:00,8.46e-06,8.54e-06,8e-06,8.18e-06,4165305.00000000,,,,,7.68e-06
2020-04-21 00:00:00,8.15e-06,8.25e-06,7.99e-06,8.07e-06,1694402.00000000,,,,,7.28e-06
2020-04-21 12:00:00,8.08e-06,8.19e-06,7.97e-06,8.03e-06,1844900.00000000,8.06e-06,,,,7.41e-06
2020-04-22 00:00:00,8.03e-06,8.33e-06,8.02e-06,8.28e-06,2716672.00000000,8.06e-06,,,,7e-06
2020-04-22 12:00:00,8.3e-06,8.54e-06,8.23e-06,8.43e-06,2255342.00000000,8.06e-06,,,,6.75e-06
2020-04-23 00:00:00,8.43e-06,8.55e-06,8.18e-06,8.22e-06,2509684.00000000,8.06e-06,,,,7e-06
2020-04-23 12:00:00,8.22e-06,8.37e-06,7.96e-06,8.2e-06,3304323.00000000,8.06e-06,,,,7.1e-06
2020-04-24 00:00:00,8.19e-06,8.41e-06,8.13e-06,8.22e-06,2245108.00000000,8.06e-06,,,,7.87e-06
2020-04-24 12:00:00,8.24e-06,8.61e-06,8.18e-06,8.58e-06,4927961.00000000,8.06e-06,,,,7.81e-06
2020-04-25 00:00:00,8.61e-06,8.62e-06,8.35e-06,8.54e-06,3316868.00000000,8.115e-06,,,,8.13e-06
2020-04-25 12:00:00,8.53e-06,8.68e-06,8.44e-06,8.46e-06,2944155.00000000,8.185e-06,,,,8.28e-06
2020-04-26 00:00:00,8.48e-06,8.54e-06,8.25e-06,8.35e-06,2777704.00000000,8.2e-06,,,,7.95e-06
2020-04-26 12:00:00,8.35e-06,8.41e-06,8.2e-06,8.35e-06,2273995.00000000,8.305e-06,,,,8.01e-06
2020-04-27 00:00:00,8.35e-06,8.35e-06,8.13e-06,8.17e-06,1403116.00000000,8.380000000000001e-06,,,,9.02e-06
2020-04-27 12:00:00,8.2e-06,8.54e-06,8.13e-06,8.49e-06,2415855.00000000,8.46e-06,,,,8.81e-06
2020-04-28 00:00:00,8.5e-06,8.59e-06,8.31e-06,8.45e-06,2073229.00000000,8.46e-06,,,,8.28e-06
2020-04-28 12:00:00,8.45e-06,8.53e-06,8.36e-06,8.49e-06,1116014.00000000,8.335e-06,,,,8.54e-06
2020-04-29 00:00:00,8.49e-06,8.54e-06,8.22e-06,8.26e-06,1692906.00000000,8.335e-06,,,,7.83e-06
2020-04-29 12:00:00,8.26e-06,8.44e-06,7.88e-06,8.05e-06,6478897.00000000,8.295000000000001e-06,,,,7.94e-06
2020-04-30 00:00:00,8.05e-06,8.07e-06,7.37e-06,7.68e-06,5054056.00000000,8.025e-06,,,,7.79e-06
2020-04-30 12:00:00,7.68e-06,8.01e-06,7.53e-06,7.81e-06,2703280.00000000,8.025e-06,,,,8.27e-06
2020-05-01 00:00:00,7.82e-06,7.97e-06,7.53e-06,7.6e-06,2092799.00000000,8.025e-06,,,,8.71e-06
2020-05-01 12:00:00,7.59e-06,7.73e-06,7.57e-06,7.66e-06,720046.00000000,8.025e-06,,,,8.67e-06
2020-05-02 00:00:00,7.65e-06,7.72e-06,7.52e-06,7.53e-06,1224541.00000000,8.025e-06,,,,8.81e-06
2020-05-02 12:00:00,7.53e-06,7.6e-06,7.37e-06,7.49e-06,3122454.00000000,8.025e-06,,,,8.97e-06
2020-05-03 00:00:00,7.48e-06,7.49e-06,7.16e-06,7.26e-06,1600614.00000000,7.92e-06,,,,8.74e-06
2020-05-03 12:00:00,7.26e-06,7.45e-06,7.11e-06,7.27e-06,1819104.00000000,7.895e-06,,,,8.8e-06
2020-05-04 00:00:00,7.26e-06,7.3e-06,6.85e-06,7.2e-06,3627218.00000000,7.765e-06,,,,8.8e-06
2020-05-04 12:00:00,7.23e-06,7.36e-06,7.13e-06,7.16e-06,1758046.00000000,7.765e-06,,,,9.17e-06
2020-05-05 00:00:00,7.19e-06,7.3e-06,7.06e-06,7.22e-06,1459069.00000000,7.765e-06,,,,9.37e-06
2020-05-05 12:00:00,7.22e-06,7.89e-06,7.17e-06,7.68e-06,5821620.00000000,7.72e-06,,,,9.63e-06
2020-05-06 00:00:00,7.67e-06,7.83e-06,7.26e-06,7.28e-06,3869606.00000000,7.72e-06,,,,9.79e-06
2020-05-06 12:00:00,7.28e-06,7.67e-06,7.24e-06,7.41e-06,2438996.00000000,7.72e-06,,,,9.86e-06
2020-05-07 00:00:00,7.43e-06,7.46e-06,6.96e-06,7e-06,4432507.00000000,7.72e-06,,,,9.91e-06
2020-05-07 12:00:00,6.96e-06,7.08e-06,6.6e-06,6.75e-06,7826632.00000000,7.595000000000001e-06,,,,1.093e-05
2020-05-08 00:00:00,6.75e-06,7.17e-06,6.61e-06,7e-06,2287338.00000000,7.57e-06,,,,1.073e-05
2020-05-08 12:00:00,7.02e-06,7.16e-06,6.86e-06,7.1e-06,5181594.00000000,7.57e-06,,,,1.089e-05
2020-05-09 00:00:00,7.15e-06,8.35e-06,7.08e-06,7.87e-06,10866730.00000000,7.520000000000001e-06,,,,1.143e-05
2020-05-09 12:00:00,7.86e-06,8.29e-06,7.75e-06,7.81e-06,7310508.00000000,7.4750000000000004e-06,,,,1.121e-05
2020-05-10 00:00:00,7.8e-06,8.44e-06,7.54e-06,8.13e-06,10694374.00000000,7.520000000000001e-06,,,,1.097e-05
2020-05-10 12:00:00,8.13e-06,8.6e-06,8.12e-06,8.28e-06,7409306.00000000,7.6e-06,,,,1.099e-05
2020-05-11 00:00:00,8.32e-06,8.39e-06,7.84e-06,7.95e-06,6037528.00000000,7.6e-06,,,,1.026e-05
2020-05-11 12:00:00,7.92e-06,8.06e-06,7.65e-06,8.01e-06,6009750.00000000,7.6e-06,7.78e-06,,,1.03e-05
2020-05-12 00:00:00,8.01e-06,9.06e-06,7.87e-06,9.02e-06,8454001.00000000,7.83e-06,7.83e-06,,,1.18e-05
2020-05-12 12:00:00,9.02e-06,9.07e-06,8.62e-06,8.81e-06,6921977.00000000,7.835e-06,7.835e-06,,,9.83e-06
2020-05-13 00:00:00,8.81e-06,8.97e-06,8.23e-06,8.28e-06,6317769.00000000,7.835e-06,7.835e-06,,,9.9e-06
2020-05-13 12:00:00,8.29e-06,8.68e-06,8.05e-06,8.54e-06,6679124.00000000,7.835e-06,7.835e-06,,,9.67e-06
2020-05-14 00:00:00,8.52e-06,8.54e-06,7.6e-06,7.83e-06,6850306.00000000,7.835e-06,7.835e-06,,,9.45e-06
2020-05-14 12:00:00,7.85e-06,8.3e-06,7.68e-06,7.94e-06,5313676.00000000,7.835e-06,7.835e-06,,,9.62e-06
2020-05-15 00:00:00,7.95e-06,8e-06,7.63e-06,7.79e-06,3311995.00000000,7.835e-06,7.835e-06,,,9.93e-06
2020-05-15 12:00:00,7.78e-06,8.32e-06,7.77e-06,8.27e-06,3514930.00000000,7.835e-06,7.835e-06,,,9.82e-06
