OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2019-08-07,1.133e-05,1.14e-05,9.97e-06,1.018e-05,62675712.00000000,,,,,4.81e-06
2019-08-08,1.017e-05,1.125e-05,9.53e-06,1.043e-05,64067153.00000000,,,,,4.93e-06
2019-08-09,1.043e-05,1.12e-05,9.84e-06,1.069e-05,83418593.00000000,,,,,4.49e-06
2019-08-10,1.069e-05,1.083e-05,9.74e-06,1.014e-05,51420877.00000000,,,,,4.36e-06
2019-08-11,1.014e-05,1.043e-05,9.78e-06,9.95e-06,29809743.00000000,,,,,4.43e-06
2019-08-12,9.94e-06,1.019e-05,9.6e-06,9.77e-06,23879198.00000000,,,,,4.26e-06
2019-08-13,9.76e-06,1.02e-05,9.41e-06,9.61e-06,34816389.00000000,,,,,3.7e-06
2019-08-14,9.61e-06,9.89e-06,9.04e-06,9.17e-06,49778807.00000000,,,,,3.77e-06
2019-08-15,9.19e-06,1.065e-05,8.76e-06,1.024e-05,83956019.00000000,,,,,3.81e-06
2019-08-16,1.023e-05,1.041e-05,9.21e-06,9.37e-06,58965427.00000000,,,,,4.24e-06
2019-08-17,9.38e-06,9.6e-06,9.24e-06,9.36e-06,24769587.00000000,,,,,4.1e-06
2019-08-18,9.35e-06,9.45e-06,8.88e-06,9.08e-06,24796766.00000000,,,,,4.16e-06
2019-08-19,9.09e-06,9.4e-06,8.8e-06,9.03e-06,27556209.00000000,,,,,4.6e-06
2019-08-20,9.03e-06,9.24e-06,8.58e-06,8.73e-06,22056959.00000000,,,,,5.11e-06
2019-08-21,8.74e-06,8.8e-06,8.15e-06,8.26e-06,41287785.00000000,,,,,5.75e-06
2019-08-22,8.26e-06,9.14e-06,8.11e-06,8.6e-06,62205309.00000000,,,,,5.47e-06
2019-08-23,8.6e-06,8.77e-06,7.72e-06,8.11e-06,66924747.00000000,,,,,4.88e-06
2019-08-24,8.1e-06,8.3e-06,7.55e-06,7.83e-06,50561702.00000000,,,,,4.5e-06
2019-08-25,7.83e-06,8.14e-06,7.59e-06,7.71e-06,45601376.00000000,,,,,3.96e-06
2019-08-26,7.68e-06,7.79e-06,7.04e-06,7.07e-06,50784825.00000000,9.22e-06,,,,4.57e-06
2019-08-27,7.07e-06,8.7e-06,7.03e-06,8.11e-06,90612886.00000000,9.14e-06,,,,4.56e-06
2019-08-28,8.11e-06,8.43e-06,7.15e-06,7.23e-06,138064572.00000000,9.115e-06,,,,4.72e-06
2019-08-29,7.24e-06,7.24e-06,6.5e-06,6.59e-06,52056048.00000000,8.665e-06,,,,4.71e-06
2019-08-30,6.59e-06,7.39e-06,6.36e-06,7.38e-06,96460288.00000000,8.505e-06,,,,5.1e-06
2019-08-31,7.39e-06,7.58e-06,6.53e-06,6.64e-06,67779566.00000000,8.505e-06,,,,4.75e-06
2019-09-01,6.64e-06,6.8e-06,6.11e-06,6.23e-06,36966909.00000000,8.38e-06,,,,4.9e-06
2019-09-02,6.23e-06,6.62e-06,5.63e-06,5.64e-06,53881764.00000000,8.14e-06,,,,4.98e-06
2019-09-03,5.64e-06,5.86e-06,5.12e-06,5.22e-06,59529759.00000000,7.885e-06,,,,4.87e-06
2019-09-04,5.21e-06,5.49e-06,4.84e-06,4.96e-06,61442658.00000000,7.625000000000001e-06,,,,5.1e-06
2019-09-05,4.96e-06,5.05e-06,4.55e-06,4.79e-06,62944703.00000000,7.074999999999999e-06,,,,5.35e-06
2019-09-06,4.79e-06,4.86e-06,4.02e-06,4.81e-06,89178994.00000000,6.734999999999999e-06,,,,5.44e-06
2019-09-07,4.81e-06,5.5e-06,4.64e-06,4.93e-06,172291977.00000000,6.71e-06,,,,5.48e-06
2019-09-08,4.94e-06,5.1e-06,4.45e-06,4.49e-06,57270657.00000000,6.629999999999999e-06,,,,6.14e-06
2019-09-09,4.5e-06,4.66e-06,4.33e-06,4.36e-06,42633395.00000000,6.58e-06,,,,7.3e-06
2019-09-10,4.37e-06,4.56e-06,4.25e-06,4.43e-06,36191007.00000000,6.58e-06,,,,6.92e-06
2019-09-11,4.42e-06,4.82e-06,4.25e-06,4.26e-06,52395925.00000000,6.395000000000001e-06,,,,7.11e-06
2019-09-12,4.26e-06,4.29e-06,3.63e-06,3.7e-06,57504365.00000000,6.164999999999999e-06,,,,7.41e-06
2019-09-13,3.69e-06,3.97e-06,3.63e-06,3.77e-06,24689943.00000000,6.164999999999999e-06,,,,7.3e-06
2019-09-14,3.79e-06,3.9e-06,3.65e-06,3.81e-06,21936822.00000000,6.164999999999999e-06,,,,7.9e-06
2019-09-15,3.82e-06,4.59e-06,3.79e-06,4.24e-06,62680933.00000000,6.164999999999999e-06,,,,7.66e-06
2019-09-16,4.24e-06,4.33e-06,3.91e-06,4.1e-06,39733558.00000000,6.03e-06,,,,7.12e-06
2019-09-17,4.1e-06,4.36e-06,4.01e-06,4.16e-06,34684620.00000000,5.605e-06,,,,7.01e-06
2019-09-18,4.16e-06,4.67e-06,4.13e-06,4.6e-06,37031401.00000000,5.605e-06,,,,6.71e-06
2019-09-19,4.6e-06,5.32e-06,4.26e-06,5.11e-06,74629051.00000000,5.605e-06,,,,6.88e-06
2019-09-20,5.12e-06,6.01e-06,4.83e-06,5.75e-06,128177676.00000000,5.215e-06,,,,6.64e-06
2019-09-21,5.75e-06,5.95e-06,5.26e-06,5.47e-06,51475991.00000000,5.125e-06,,,,6.71e-06
2019-09-22,5.47e-06,5.48e-06,4.79e-06,4.88e-06,35921978.00000000,4.82e-06,,,,7.14e-06
2019-09-23,4.88e-06,5.07e-06,4.44e-06,4.5e-06,29198786.00000000,4.82e-06,,,,6.9e-06
2019-09-24,4.5e-06,4.58e-06,3.9e-06,3.96e-06,39583310.00000000,4.82e-06,,,,7.12e-06
2019-09-25,3.96e-06,4.59e-06,3.89e-06,4.57e-06,46090670.00000000,4.82e-06,,,,6.68e-06
2019-09-26,4.58e-06,4.72e-06,4.32e-06,4.56e-06,43789214.00000000,4.82e-06,,,,5.5e-06
2019-09-27,4.56e-06,4.92e-06,4.53e-06,4.72e-06,31421997.00000000,4.82e-06,,,,5.42e-06
2019-09-28,4.71e-06,4.87e-06,4.44e-06,4.71e-06,19454483.00000000,4.82e-06,,,,5.64e-06
2019-09-29,4.71e-06,5.3e-06,4.64e-06,5.1e-06,29977898.00000000,4.82e-06,,,,5.36e-06
2019-09-30,5.12e-06,5.18e-06,4.5e-06,4.75e-06,53134551.00000000,4.82e-06,,,,5.38e-06
2019-10-01,4.75e-06,4.98e-06,4.68e-06,4.9e-06,15458051.00000000,4.82e-06,,,,5.43e-06
2019-10-02,4.92e-06,5.24e-06,4.86e-06,4.98e-06,22310987.00000000,4.82e-06,,,,5.69e-06
2019-10-03,4.98e-06,5.1e-06,4.81e-06,4.87e-06,17094241.00000000,4.83e-06,,,,5.85e-06
2019-10-04,4.87e-06,5.16e-06,4.79e-06,5.1e-06,14733025.00000000,4.9000000000000005e-06,,,,5.81e-06
2019-10-05,5.11e-06,5.44e-06,5.03e-06,5.35e-06,15640189.00000000,4.95e-06,7.515e-06,,,5.45e-06
2019-10-06,5.35e-06,5.65e-06,5.35e-06,5.44e-06,22430072.00000000,4.95e-06,7.44e-06,,,5.66e-06
2019-10-07,5.44e-06,5.56e-06,5.26e-06,5.48e-06,17118582.00000000,4.95e-06,7.414999999999999e-06,,,6.46e-06
2019-10-08,5.47e-06,6.36e-06,5.41e-06,6.14e-06,35509304.00000000,5.125e-06,7.23e-06,,,6.23e-06
2019-10-09,6.14e-06,7.47e-06,5.9e-06,7.3e-06,75433295.00000000,5.68e-06,7.139999999999999e-06,,,6.21e-06
2019-10-10,7.3e-06,7.88e-06,6.7e-06,6.92e-06,115285676.00000000,5.885e-06,7.139999999999999e-06,,,6.48e-06
2019-10-11,6.91e-06,7.6e-06,6.4e-06,7.11e-06,71800047.00000000,5.885e-06,7.139999999999999e-06,,,6.18e-06
2019-10-12,7.13e-06,7.45e-06,6.69e-06,7.41e-06,40078510.00000000,5.885e-06,7.139999999999999e-06,,,6.38e-06
2019-10-13,7.42e-06,7.68e-06,6.88e-06,7.3e-06,51459797.00000000,5.885e-06,7.139999999999999e-06,,,6.56e-06
2019-10-14,7.3e-06,8.19e-06,7.25e-06,7.9e-06,59970889.00000000,6.04e-06,7.0200000000000006e-06,,,6.71e-06
2019-10-15,7.9e-06,7.97e-06,7.41e-06,7.66e-06,33157724.00000000,6.255e-06,6.615e-06,,,7.1e-06
2019-10-16,7.66e-06,7.67e-06,6.42e-06,7.12e-06,48848619.00000000,6.315e-06,6.54e-06,,,6.74e-06
2019-10-17,7.15e-06,7.34e-06,6.79e-06,7.01e-06,26933957.00000000,6.315e-06,6.5149999999999995e-06,,,6.77e-06
2019-10-18,7.02e-06,7.04e-06,6.64e-06,6.71e-06,14739533.00000000,6.344999999999999e-06,6.435e-06,,,6.58e-06
2019-10-19,6.7e-06,6.89e-06,6.51e-06,6.88e-06,13463175.00000000,6.344999999999999e-06,6.385000000000001e-06,,,6.25e-06
2019-10-20,6.88e-06,7.12e-06,6.47e-06,6.64e-06,17679847.00000000,6.435e-06,6.385000000000001e-06,,,6.4e-06
2019-10-21,6.62e-06,6.95e-06,6.59e-06,6.71e-06,12353427.00000000,6.49e-06,6.2e-06,,,6.11e-06
2019-10-22,6.71e-06,7.29e-06,6.67e-06,7.14e-06,25296257.00000000,6.49e-06,6.164999999999999e-06,,,6.41e-06
2019-10-23,7.15e-06,7.2e-06,6.55e-06,6.9e-06,22935160.00000000,6.49e-06,6.164999999999999e-06,,,6.19e-06
2019-10-24,6.89e-06,7.28e-06,6.8e-06,7.12e-06,19624748.00000000,6.609999999999999e-06,6.164999999999999e-06,,,6.42e-06
2019-10-25,7.12e-06,7.2e-06,6.21e-06,6.68e-06,28071436.00000000,6.724999999999999e-06,6.164999999999999e-06,,,6.11e-06
2019-10-26,6.72e-06,6.72e-06,5.32e-06,5.5e-06,49325790.00000000,6.724999999999999e-06,6.03e-06,,,5.54e-06
2019-10-27,5.5e-06,5.84e-06,5.03e-06,5.42e-06,42124876.00000000,6.609999999999999e-06,5.909999999999999e-06,,,5.66e-06
2019-10-28,5.41e-06,6.08e-06,5.07e-06,5.64e-06,35497301.00000000,6.609999999999999e-06,5.909999999999999e-06,,,5.45e-06
2019-10-29,5.64e-06,5.75e-06,5.26e-06,5.36e-06,15664337.00000000,6.609999999999999e-06,5.909999999999999e-06,,,5.44e-06
2019-10-30,5.37e-06,5.55e-06,5.29e-06,5.38e-06,8864831.00000000,6.609999999999999e-06,5.909999999999999e-06,,,5.38e-06
2019-10-31,5.38e-06,5.59e-06,5.19e-06,5.43e-06,12470585.00000000,6.609999999999999e-06,5.909999999999999e-06,,,5.39e-06
2019-11-01,5.44e-06,5.91e-06,5.41e-06,5.69e-06,13503557.00000000,6.609999999999999e-06,5.909999999999999e-06,,,5.24e-06
2019-11-02,5.69e-06,6.09e-06,5.68e-06,5.85e-06,25450370.00000000,6.609999999999999e-06,5.909999999999999e-06,,,5.14e-06
2019-11-03,5.85e-06,5.88e-06,5.67e-06,5.81e-06,7327622.00000000,6.5000000000000004e-06,5.909999999999999e-06,,,5.32e-06
2019-11-04,5.81e-06,5.81e-06,5.33e-06,5.45e-06,14489751.00000000,6.35e-06,5.909999999999999e-06,6.2325e-06,,4.9e-06
2019-11-05,5.44e-06,5.7e-06,5.39e-06,5.66e-06,12240619.00000000,6.185e-06,5.909999999999999e-06,6.195e-06,,5.14e-06
2019-11-06,5.67e-06,6.88e-06,5.55e-06,6.46e-06,67656116.00000000,6.16e-06,5.909999999999999e-06,6.1825e-06,,5.18e-06
2019-11-07,6.46e-06,6.56e-06,6.1e-06,6.23e-06,19019032.00000000,6.16e-06,5.909999999999999e-06,6.1775e-06,,5.17e-06
2019-11-08,6.24e-06,6.35e-06,6.05e-06,6.21e-06,12633990.00000000,6.16e-06,5.909999999999999e-06,6.41e-06,,5.03e-06
2019-11-09,6.21e-06,6.8e-06,6.13e-06,6.48e-06,19522623.00000000,6.16e-06,5.909999999999999e-06,6.5125e-06,,4.99e-06
2019-11-10,6.49e-06,6.66e-06,6.06e-06,6.18e-06,22360369.00000000,6.16e-06,5.909999999999999e-06,6.5125e-06,,4.76e-06
2019-11-11,6.19e-06,6.43e-06,6.15e-06,6.38e-06,9186084.00000000,6.1549999999999995e-06,5.909999999999999e-06,6.5125e-06,,4.67e-06
2019-11-12,6.38e-06,7e-06,6.36e-06,6.56e-06,31607937.00000000,6.1549999999999995e-06,5.92e-06,6.5125e-06,,4.74e-06
2019-11-13,6.56e-06,6.82e-06,6.39e-06,6.71e-06,14448672.00000000,6.115e-06,5.99e-06,6.53e-06,,4.77e-06
2019-11-14,6.71e-06,7.13e-06,6.43e-06,7.1e-06,21974042.00000000,6.08e-06,6.04e-06,6.435e-06,,5.18e-06
2019-11-15,7.11e-06,7.14e-06,6.64e-06,6.74e-06,21066258.00000000,6.085e-06,6.04e-06,6.4275e-06,,5.05e-06
2019-11-16,6.74e-06,6.91e-06,6.7e-06,6.77e-06,7478235.00000000,6.105e-06,6.04e-06,6.4149999999999996e-06,,4.69e-06
2019-11-17,6.79e-06,6.82e-06,6.42e-06,6.58e-06,15330154.00000000,6.165e-06,6.04e-06,6.39e-06,,4.38e-06
2019-11-18,6.59e-06,6.61e-06,6.23e-06,6.25e-06,12376678.00000000,6.165e-06,6.04e-06,6.365e-06,,4.42e-06
2019-11-19,6.25e-06,6.7e-06,6.11e-06,6.4e-06,14013351.00000000,6.165e-06,6.04e-06,6.4100000000000005e-06,,4.4e-06
2019-11-20,6.41e-06,6.49e-06,6.02e-06,6.11e-06,9575074.00000000,6.2350000000000004e-06,6.04e-06,6.344999999999999e-06,,4.42e-06
2019-11-21,6.11e-06,6.51e-06,6.03e-06,6.41e-06,12888082.00000000,6.2350000000000004e-06,6.04e-06,6.3275e-06,,4.5e-06
2019-11-22,6.42e-06,6.6e-06,6.1e-06,6.19e-06,11685445.00000000,6.2350000000000004e-06,6.04e-06,6.3275e-06,,4.38e-06
2019-11-23,6.19e-06,6.45e-06,6.16e-06,6.42e-06,7182937.00000000,6.2350000000000004e-06,6.04e-06,6.387499999999999e-06,,4.49e-06
2019-11-24,6.41e-06,6.46e-06,6.09e-06,6.11e-06,8131995.00000000,6.265e-06,6.255e-06,6.444999999999999e-06,,4.78e-06
2019-11-25,6.11e-06,6.16e-06,5.29e-06,5.54e-06,41880999.00000000,6.215000000000001e-06,6.315e-06,6.3774999999999995e-06,,4.5e-06
2019-11-26,5.54e-06,5.78e-06,5.45e-06,5.66e-06,17178243.00000000,6.215000000000001e-06,6.315e-06,6.259999999999999e-06,,4.49e-06
2019-11-27,5.65e-06,5.82e-06,5.37e-06,5.45e-06,21915991.00000000,6.215000000000001e-06,6.344999999999999e-06,6.259999999999999e-06,,4.5e-06
2019-11-28,5.46e-06,5.55e-06,5.37e-06,5.44e-06,8085984.00000000,6.215000000000001e-06,6.344999999999999e-06,6.259999999999999e-06,,4.28e-06
2019-11-29,5.44e-06,5.58e-06,5.22e-06,5.38e-06,11802393.00000000,6.18e-06,6.435e-06,6.259999999999999e-06,,4.2e-06
2019-11-30,5.38e-06,5.69e-06,5.12e-06,5.39e-06,15574735.00000000,6.130000000000001e-06,6.49e-06,6.259999999999999e-06,,4.37e-06
2019-12-01,5.38e-06,5.41e-06,5.2e-06,5.24e-06,6518530.00000000,6.130000000000001e-06,6.49e-06,6.259999999999999e-06,,4.31e-06
2019-12-02,5.24e-06,5.27e-06,5.07e-06,5.14e-06,6466056.00000000,6.105e-06,6.49e-06,6.259999999999999e-06,,4.44e-06
2019-12-03,5.13e-06,5.41e-06,5.11e-06,5.32e-06,10731108.00000000,6.105e-06,6.609999999999999e-06,6.205e-06,,5e-06
2019-12-04,5.32e-06,5.33e-06,4.78e-06,4.9e-06,20127756.00000000,5.9600000000000005e-06,6.485e-06,6.13e-06,,4.85e-06
2019-12-05,4.91e-06,5.18e-06,4.66e-06,5.14e-06,22100816.00000000,5.785e-06,6.425e-06,6.047499999999999e-06,,4.8e-06
2019-12-06,5.13e-06,5.28e-06,4.91e-06,5.18e-06,20027452.00000000,5.74e-06,6.425e-06,6.035e-06,,4.81e-06
2019-12-07,5.19e-06,5.42e-06,5.13e-06,5.17e-06,12187860.00000000,5.68e-06,6.425e-06,6.035e-06,,5.16e-06
2019-12-08,5.18e-06,5.18e-06,4.95e-06,5.03e-06,9852437.00000000,5.68e-06,6.425e-06,6.035e-06,,4.75e-06
2019-12-09,5.04e-06,5.19e-06,4.86e-06,4.99e-06,10585196.00000000,5.63e-06,6.425e-06,6.035e-06,,4.97e-06
2019-12-10,4.98e-06,5e-06,4.63e-06,4.76e-06,14753348.00000000,5.615e-06,6.41e-06,6.035e-06,,5.22e-06
