OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2020-09-01,6.08,15.97,6.08,8.804,8172284.23900000,,,,,1.251
2020-09-02,8.806,9.5,5.944,7.245,11293501.26400000,,,,,1.117
2020-09-03,7.242,8.945,4.56,4.86,14760107.92200000,,,,,1.057
2020-09-04,4.86,5.773,4.3,4.562,11142693.31900000,,,,,0.877
2020-09-05,4.561,5.059,1.311,1.884,48547457.47400000,,,,,0.845
2020-09-06,1.885,3.5,1.13,3.171,95427415.49900000,,,,,0.639
2020-09-07,3.176,3.38,2.18,2.85,50877821.17600000,,,,,0.677
2020-09-08,2.851,2.97,2.28,2.374,27337787.40700000,,,,,0.776
2020-09-09,2.375,3.188,2.153,2.88,38425426.53600000,,,,,0.827
2020-09-10,2.877,3.145,2.25,2.381,34906807.70300000,,,,,0.748
2020-09-11,2.383,2.945,2.028,2.711,44851135.67700000,,,,,0.76
2020-09-12,2.714,2.73,2.306,2.629,34128562.65400000,,,,,0.761
2020-09-13,2.629,2.645,2.18,2.329,19611441.94500000,,,,,0.736
2020-09-14,2.328,2.664,2.141,2.462,27596631.46200000,,,,,0.719
2020-09-15,2.461,2.64,1.679,1.757,46952316.60500000,,,,,0.704
2020-09-16,1.757,1.85,1.464,1.518,24325497.34100000,,,,,0.657
2020-09-17,1.519,1.656,1.319,1.534,26410234.88400000,,,,,0.663
2020-09-18,1.535,1.875,1.53,1.694,35026833.61100000,,,,,0.714
2020-09-19,1.694,1.948,1.604,1.775,24543400.68200000,,,,,0.675
2020-09-20,1.775,1.935,1.573,1.642,23131230.80700000,8.55,,,,0.627
2020-09-21,1.644,1.75,1.349,1.411,17956521.94000000,5.3149999999999995,,,,0.665
2020-09-22,1.412,1.463,1.321,1.391,13042320.61300000,5.0375,,,,0.667
2020-09-23,1.39,1.452,1.215,1.269,25049977.03500000,3.4515,,,,0.664
2020-09-24,1.27,1.478,1.245,1.411,18707194.73700000,3.0945,,,,0.657
2020-09-25,1.41,1.45,1.333,1.403,12729370.02600000,2.315,,,,0.623
2020-09-26,1.405,1.443,1.351,1.395,9236067.55600000,2.2975,,,,0.625
2020-09-27,1.395,1.45,1.324,1.369,7500802.89300000,2.2015000000000002,,,,0.698
2020-09-28,1.369,1.394,1.25,1.271,8124207.76800000,2.2015000000000002,,,,0.638
2020-09-29,1.267,1.288,1.196,1.254,9617591.86800000,2.1705,,,,0.644
2020-09-30,1.253,1.326,1.237,1.283,8414892.72400000,2.0705,,,,0.598
2020-10-01,1.283,1.35,1.204,1.251,7570278.70200000,1.963,,,,0.606
2020-10-02,1.25,1.263,1.034,1.117,9282085.39100000,1.8490000000000002,,,,0.607
2020-10-03,1.118,1.127,1.049,1.057,4229582.09600000,1.8490000000000002,,,,0.583
2020-10-04,1.057,1.068,0.856,0.877,13878097.46100000,1.748,,,,0.525
2020-10-05,0.878,0.951,0.818,0.845,20088828.89800000,1.383,,,,0.49
2020-10-06,0.846,0.852,0.626,0.639,39576045.19000000,1.287,,,,0.515
2020-10-07,0.639,0.685,0.551,0.677,34416906.28600000,1.2495,,,,0.617
2020-10-08,0.676,0.799,0.596,0.776,30020199.21300000,1.2495,,,,0.604
2020-10-09,0.776,0.865,0.734,0.827,19787864.08200000,1.243,,,,0.642
2020-10-10,0.826,0.873,0.733,0.748,18960669.93600000,1.1505,,,,0.603
2020-10-11,0.748,0.786,0.695,0.76,15230698.18100000,1.0145,,,,0.673
2020-10-12,0.76,0.801,0.729,0.761,9029535.96200000,1.0145,,,,0.681
2020-10-13,0.76,0.77,0.71,0.736,7100939.81300000,1.0145,,,,0.692
2020-10-14,0.737,0.766,0.69,0.719,7426841.84500000,1.0005,,,,0.964
2020-10-15,0.719,0.721,0.666,0.704,7798092.42800000,1.0005,,,,1.048
2020-10-16,0.704,0.707,0.64,0.657,8937403.35000000,1.0005,,,,1.255
2020-10-17,0.657,0.68,0.642,0.663,5136890.15100000,0.9724999999999999,,,,1.325
2020-10-18,0.664,0.718,0.661,0.714,5774098.07200000,0.9505000000000001,,,,1.333
2020-10-19,0.713,0.73,0.665,0.675,4609354.70600000,0.9505000000000001,,,,1.145
2020-10-20,0.675,0.678,0.61,0.627,6048227.49300000,0.9505000000000001,,,,1.574
2020-10-21,0.626,0.697,0.621,0.665,6712996.41200000,0.907,,,,1.577
2020-10-22,0.664,0.719,0.658,0.667,6781796.06200000,0.839,,,,1.657
2020-10-23,0.668,0.697,0.643,0.664,5236880.66100000,0.8095000000000001,,,,1.622
2020-10-24,0.664,0.672,0.643,0.657,2204987.41500000,0.751,,,,1.526
2020-10-25,0.656,0.659,0.615,0.623,2498703.40000000,0.712,,,,1.34
2020-10-26,0.623,0.644,0.588,0.625,6281550.48000000,0.712,,,,1.222
2020-10-27,0.624,0.716,0.623,0.698,12990578.39000000,0.7304999999999999,,,,1.417
2020-10-28,0.698,0.705,0.608,0.638,12393377.72200000,0.7304999999999999,,,,1.449
2020-10-29,0.638,0.678,0.619,0.644,7835640.82300000,0.7304999999999999,,,,1.363
2020-10-30,0.643,0.649,0.583,0.598,7519001.64800000,0.692,8.2605,,,1.428
2020-10-31,0.598,0.636,0.59,0.606,3995957.42300000,0.692,5.0255,,,1.578
2020-11-01,0.605,0.616,0.593,0.607,2351754.02000000,0.6765,4.748,,,1.921
2020-11-02,0.608,0.624,0.581,0.583,5803640.86600000,0.6735,3.162,,,2.172
2020-11-03,0.582,0.582,0.504,0.525,7247971.78800000,0.617,2.7815000000000003,,,2.128
2020-11-04,0.525,0.531,0.472,0.49,5204562.46300000,0.601,1.986,,,1.903
2020-11-05,0.49,0.545,0.48,0.515,7231499.16800000,0.601,1.926,,,2.316
2020-11-06,0.515,0.638,0.514,0.617,9220761.00900000,0.601,1.83,,,2.185
2020-11-07,0.617,0.71,0.577,0.604,16795837.44700000,0.601,1.83,,,2.403
2020-11-08,0.604,0.662,0.589,0.642,5379218.92400000,0.5954999999999999,1.8085,,,2.121
2020-11-09,0.641,0.658,0.582,0.603,6238511.81600000,0.5954999999999999,1.7085,,,2.216
2020-11-10,0.603,0.693,0.585,0.673,7419407.67800000,0.5954999999999999,1.601,,,2.154
2020-11-11,0.673,0.764,0.67,0.681,12146953.70800000,0.618,1.568,,,1.931
2020-11-12,0.681,0.727,0.643,0.692,10124605.07900000,0.618,1.568,,,2.152
2020-11-13,0.691,0.99,0.687,0.964,22876705.71000000,0.731,1.556,,,2.391
2020-11-14,0.962,1.107,0.85,1.048,27171746.04500000,0.7895,1.21,,,2.564
2020-11-15,1.05,1.45,1.048,1.255,37338614.69700000,0.961,1.21,,,2.715
2020-11-16,1.255,1.49,1.135,1.325,31920302.54400000,0.981,1.21,,,2.847
2020-11-17,1.323,1.45,1.221,1.333,20534590.04100000,0.981,1.21,,,2.858
2020-11-18,1.334,1.356,1.063,1.145,17163544.59300000,0.981,1.2035,,,
2020-11-19,1.145,1.686,1.116,1.574,38911057.48000000,1.079,1.111,,,
2020-11-20,1.572,1.797,1.488,1.577,24290731.98600000,1.1345,1.1345,,,
2020-11-21,1.579,1.737,1.49,1.657,14527630.59400000,1.1345,1.1345,,,
2020-11-22,1.657,1.749,1.388,1.622,14874984.69700000,1.1345,1.1345,,,
2020-11-23,1.621,1.68,1.43,1.526,15975786.38900000,1.1345,1.1345,,,
