OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2020-08-10,0.41663,0.68999,0.41663,0.52381,1285.85000000,,,,,2.69649
2020-08-11,0.52382,0.57253,0.48402,0.53217,550.59490000,,,,,3.29308
2020-08-12,0.53213,0.53997,0.465,0.49699,490.75190000,,,,,3.67
2020-08-13,0.49602,0.49958,0.3,0.45326,911.02680000,,,,,4.14
2020-08-14,0.45326,0.45647,0.4014,0.42627,274.04780000,,,,,3.57293
2020-08-15,0.42685,0.45913,0.35111,0.4551,548.81340000,,,,,3.7359
2020-08-16,0.45509,0.5768,0.43948,0.56061,891.60740000,,,,,3.2843
2020-08-17,0.55954,0.749,0.536,0.725,1281.78340000,,,,,3.18462
2020-08-18,0.72878,0.99206,0.7044,0.80849,2070.29960000,,,,,3.0371
2020-08-19,0.8084,1.09999,0.803,1.06987,1451.19000000,,,,,3.0201
2020-08-20,1.06998,1.4162,0.97593,1.29311,2935.72130000,,,,,2.7893
2020-08-21,1.29309,1.316,1.01404,1.06738,1549.70770000,,,,,2.56891
2020-08-22,1.06751,1.2446,0.97161,1.20554,864.29620000,,,,,2.3019
2020-08-23,1.2055,1.207,1.01666,1.0741,459.83730000,,,,,2.37381
2020-08-24,1.0741,1.23477,1.04806,1.23121,442.17850000,,,,,2.06837
2020-08-25,1.2331,1.26776,1.13014,1.19305,503.59610000,,,,,2.35733
2020-08-26,1.19302,1.4233,1.16432,1.368,644.37960000,,,,,2.50841
2020-08-27,1.36357,1.38797,1.25,1.25237,419.60330000,,,,,2.95231
2020-08-28,1.25,1.691,1.239,1.63519,1433.18050000,,,,,2.84785
2020-08-29,1.63505,2.39846,1.55341,2.39655,2968.49700000,1.34923,,,,2.6564
2020-08-30,2.39623,3.354,2.3111,2.70166,5880.76220000,1.827,,,,2.31118
2020-08-31,2.70301,3.387,2.54534,3.00086,3503.41110000,1.8435,,,,2.21342
2020-09-01,2.9938,3.069,2.63348,2.67,1998.10200000,1.8435,,,,2.14901
2020-09-02,2.67,2.88529,2.25326,2.80443,1763.69590000,1.869055,,,,1.99249
2020-09-03,2.80443,3.11372,2.53078,2.88962,1213.14670000,1.869055,,,,1.78701
2020-09-04,2.90083,3.1,2.371,2.61325,948.18690000,1.91324,,,,1.794
2020-09-05,2.61325,2.74794,1.80292,2.18149,1825.10910000,1.9615,,,,1.77636
2020-09-06,2.18131,2.48002,1.92917,2.32582,911.84650000,2.0457,,,,1.56473
2020-09-07,2.32583,2.39,2.05848,2.21188,457.65700000,2.095,,,,1.3922
2020-09-08,2.20499,2.3,2.1186,2.22002,437.57570000,2.179305,,,,1.53497
2020-09-09,2.22932,2.85879,2.14094,2.69649,964.18930000,2.179305,,,,1.63379
2020-09-10,2.69647,3.48,2.69069,3.29308,1273.33600000,2.225805,,,,1.41907
2020-09-11,3.29709,3.69,3.06371,3.67,819.99000000,2.3533299999999997,,,,1.48741
2020-09-12,3.66666,4.2,3.50135,4.14,1153.52940000,2.6240300000000003,,,,1.43439
2020-09-13,4.13877,4.15366,3.18,3.57293,1129.82470000,2.66507,,,,1.37096
2020-09-14,3.56642,4.05622,3.3847,3.7359,942.48360000,2.68216,,,,1.27603
2020-09-15,3.72874,3.84356,3.25925,3.2843,839.70520000,2.7195,,,,1.27094
2020-09-16,3.28116,3.39372,2.85364,3.18462,1129.44860000,2.7195,,,,1.18293
2020-09-17,3.1847,3.32743,2.7378,3.0371,873.22120000,2.8767050000000003,,,,1.23373
2020-09-18,3.04117,3.19623,2.8001,3.0201,684.24900000,3.0014600000000002,,,,1.33962
2020-09-19,3.0218,3.03452,2.5227,2.7893,683.78440000,3.0014600000000002,,,,1.16572
2020-09-20,2.7893,2.79594,2.40521,2.56891,645.89150000,3.0014600000000002,,,,1.09473
2020-09-21,2.57152,2.592,2.1,2.3019,1208.42850000,3.0014600000000002,,,,1.03896
2020-09-22,2.30765,2.56866,2.164,2.37381,794.48120000,3.0014600000000002,,,,1.05735
2020-09-23,2.37946,2.50143,2.05682,2.06837,591.33350000,3.0014600000000002,,,,1.15356
2020-09-24,2.07526,2.35894,1.98414,2.35733,609.03410000,3.0014600000000002,,,,1.13414
2020-09-25,2.35725,2.56861,2.19306,2.50841,522.68470000,3.064585,,,,1.09765
2020-09-26,2.50841,2.96549,2.43372,2.95231,886.02210000,3.09207,,,,1.04166
2020-09-27,2.95229,3.17124,2.642,2.84785,1062.38220000,3.09207,,,,0.9816
2020-09-28,2.84043,2.8808,2.54147,2.6564,637.29990000,3.09207,,,,0.94826
2020-09-29,2.65834,2.696,2.2004,2.31118,1423.01390000,3.09207,,,,0.80071
2020-09-30,2.31217,2.31541,2.04223,2.21342,994.51020000,3.09207,,,,0.81041
2020-10-01,2.21342,2.42922,2.05,2.14901,1205.28400000,3.09207,,,,0.75952
2020-10-02,2.14495,2.18185,1.8271,1.99249,993.71170000,2.99038,,,,0.77512
2020-10-03,1.99512,2.05706,1.75315,1.78701,822.93480000,2.9046849999999997,,,,0.74421
2020-10-04,1.7898,1.89581,1.5101,1.794,1736.75980000,2.67683,,,,0.66692
2020-10-05,1.794,1.91429,1.64431,1.77636,986.17260000,2.45191,,,,0.59921
2020-10-06,1.77636,1.79855,1.52047,1.56473,842.76940000,2.418765,,,,0.54455
2020-10-07,1.56928,1.57199,1.29176,1.3922,1360.27170000,2.243995,,,,0.7605
2020-10-08,1.39154,1.59195,1.16,1.53497,2758.93970000,2.16562,2.25,,,0.96583
2020-10-09,1.53593,1.7616,1.45556,1.63379,1596.31260000,2.16562,2.25,,,0.97822
2020-10-10,1.62996,1.7,1.40685,1.41907,928.94870000,2.16562,2.25,,,0.97934
2020-10-11,1.41743,1.55113,1.3282,1.48741,1092.05750000,2.16562,2.25,,,1.19234
2020-10-12,1.48636,1.51636,1.39098,1.43439,683.65470000,2.16562,2.275555,,,1.06327
2020-10-13,1.4299,1.45009,1.346,1.37096,394.63180000,2.16562,2.275555,,,0.94757
2020-10-14,1.37095,1.4058,1.21,1.27603,729.81290000,2.16562,2.31974,,,1.09621
2020-10-15,1.27638,1.37737,1.2275,1.27094,710.02680000,2.16562,2.3680000000000003,,,1.07159
2020-10-16,1.26793,1.27964,1.18157,1.18293,550.21990000,2.16562,2.4522,,,1.10534
2020-10-17,1.18461,1.24431,1.16516,1.23373,348.54040000,2.0204,2.5015,,,1.1105
2020-10-18,1.23612,1.37389,1.22729,1.33962,747.35160000,1.928,2.585805,,,1.35457
2020-10-19,1.3396,1.35535,1.16572,1.16572,587.78930000,1.79461,2.585805,,,1.43397
2020-10-20,1.16573,1.19994,1.06572,1.09473,716.46550000,1.7474699999999999,2.585805,,,1.56291
2020-10-21,1.09744,1.14628,1.02185,1.03896,1007.67850000,1.6018499999999998,2.60833,,,1.42332
2020-10-22,1.03989,1.10863,1.03114,1.05735,512.18200000,1.5394549999999998,2.610925,,,1.30988
2020-10-23,1.05736,1.15491,1.05328,1.15356,754.82240000,1.46807,2.610925,,,1.32773
2020-10-24,1.15197,1.19479,1.12157,1.13414,663.99680000,1.46807,2.610925,,,1.373
2020-10-25,1.1339,1.13794,1.0886,1.09765,396.26340000,1.4102000000000001,2.610925,,,1.29109
2020-10-26,1.0964,1.11205,1.01167,1.04166,558.91790000,1.386635,2.605835,,,1.19052
2020-10-27,1.04166,1.08272,0.97133,0.9816,488.17800000,1.366465,2.585665,,,1.361
2020-10-28,0.98071,1.01303,0.91441,0.94826,507.21430000,1.3380049999999999,2.557205,,,1.3678
2020-10-29,0.94638,0.97778,0.7834,0.80071,867.80280000,1.2417,2.4917000000000002,,,1.31748
2020-10-30,0.80072,0.88476,0.7312,0.81041,1609.40920000,1.141165,2.4656000000000002,,,1.35213
2020-10-31,0.81176,0.84699,0.74554,0.75952,597.15520000,1.12378,2.4656000000000002,,,1.3425
2020-11-01,0.76057,0.8023,0.73,0.77512,440.08720000,1.090045,2.465,,,1.36733
2020-11-02,0.77796,0.81366,0.73801,0.74421,462.26320000,1.0678999999999998,2.465,,,1.57816
2020-11-03,0.74368,0.75696,0.66692,0.66692,410.16090000,1.022145,2.43346,,,1.52607
2020-11-04,0.66692,0.69625,0.58867,0.59921,814.25610000,0.98128,2.394335,,,1.42024
2020-11-05,0.59937,0.66379,0.49754,0.54455,2528.93820000,0.9357150000000001,2.34877,,,1.53292
2020-11-06,0.54363,0.7689,0.53969,0.7605,2680.12670000,0.9357150000000001,2.34877,,,1.48668
2020-11-07,0.76002,1.12363,0.75844,0.96583,6542.16920000,0.926445,2.34877,2.2078100000000003,,1.48556
2020-11-08,0.96535,1.02955,0.90019,0.97822,1895.73770000,0.84874,2.34877,2.2078100000000003,,1.39008
2020-11-09,0.9764,1.00359,0.91407,0.97934,1311.24560000,0.8461650000000001,2.34877,2.2078100000000003,,1.379
2020-11-10,0.97948,1.23,0.964,1.19234,2926.80050000,0.8637699999999999,2.34877,2.2078100000000003,,1.31371
2020-11-11,1.19519,1.24577,1.002,1.06327,2457.59530000,0.8716550000000001,2.3256,2.2205875,,1.29486
2020-11-12,1.06351,1.10271,0.93816,0.94757,1628.54050000,0.8716550000000001,2.27688,2.2205875,,1.34797
2020-11-13,0.94847,1.14,0.92468,1.09621,2269.50440000,0.8716550000000001,2.17055,2.24268,,1.37542
2020-11-14,1.09584,1.1,1.01653,1.07159,1035.59680000,0.8716550000000001,1.94563,2.2668100000000004,,1.33832
2020-11-15,1.06985,1.159,1.04843,1.10534,1262.47990000,0.8716550000000001,1.912485,2.30891,,1.27579
2020-11-16,1.10324,1.2,1.06402,1.1105,1327.09930000,0.8716550000000001,1.8468849999999999,2.2609500000000002,,1.26265
2020-11-17,1.11015,1.40998,1.10456,1.35457,2229.24010000,0.9537599999999999,1.83439,2.2569025,,1.20112
2020-11-18,1.35562,1.47002,1.194,1.43397,3187.01950000,0.9837800000000001,1.83439,2.1902075,,
2020-11-19,1.43169,1.65,1.3722,1.56291,3321.85140000,1.07377,1.83439,2.1666375,,
2020-11-20,1.56482,1.63339,1.38227,1.42332,2271.90660000,1.07377,1.83439,2.1050899999999997,,
2020-11-21,1.42131,1.4873,1.26224,1.30988,1866.77880000,1.07377,1.83439,2.07519,,
2020-11-22,1.30742,1.48,1.16933,1.32773,2592.61080000,1.07377,1.83439,2.0394975,,
2020-11-23,1.32784,1.42667,1.2642,1.373,1505.87900000,1.07377,1.83439,2.0394975,,
2020-11-24,1.37371,1.43003,1.22904,1.29109,1509.20250000,1.07377,1.83439,2.0105625,,
2020-11-25,1.29026,1.29407,1.15001,1.19052,807.09480000,1.0948449999999998,1.83439,1.996235,,
2020-11-26,1.19,1.3629,1.08558,1.361,1855.42620000,1.2042199999999998,1.6891699999999998,1.9760650000000002,,
2020-11-27,1.36101,1.48,1.32881,1.3678,1452.86970000,1.2750949999999999,1.59677,1.947605,,
2020-11-28,1.37076,1.4,1.22,1.31748,525.16780000,1.282035,1.46338,1.8667000000000002,,
2020-11-29,1.31708,1.37886,1.3045,1.35213,481.31750000,1.28734,1.46338,1.8033825,,
2020-11-30,1.35203,1.435,1.3102,1.3425,1008.35380000,1.28734,1.3396949999999999,1.7946900000000001,,
2020-12-01,1.34204,1.45406,1.2976,1.36733,913.09670000,1.28734,1.2772999999999999,1.7775225,,
2020-12-02,1.36875,1.66852,1.36662,1.57816,1597.73040000,1.2966,1.205915,1.7664499999999999,,
2020-12-03,1.57785,1.6382,1.46681,1.52607,1314.57490000,1.342525,1.205915,1.7278025000000001,,
2020-12-04,1.52606,1.56991,1.39999,1.42024,670.46250000,1.3584749999999999,1.148045,1.6878075,,
2020-12-05,1.41859,1.54998,1.41227,1.53292,490.89910000,1.36627,1.12957,1.6422425,,
2020-12-06,1.53201,1.53571,1.47552,1.48668,318.92850000,1.37705,1.12957,1.6422425,,
2020-12-07,1.48585,1.5311,1.44826,1.48556,352.05220000,1.37705,1.12957,1.6376075,,
2020-12-08,1.48556,1.49013,1.34,1.39008,559.54910000,1.37705,1.09877,1.5987550000000001,,
2020-12-09,1.38876,1.42187,1.32544,1.379,504.45330000,1.37705,1.08303,1.5974675,,
2020-12-10,1.379,1.40057,1.30846,1.31371,425.99020000,1.37705,1.08303,1.6062699999999999,,
2020-12-11,1.31377,1.33194,1.24038,1.29486,446.04800000,1.37705,1.08303,1.5986275,,
2020-12-12,1.29537,1.39753,1.29081,1.34797,461.99350000,1.37705,1.08303,1.5742675,,
2020-12-13,1.34797,1.40314,1.34688,1.37542,345.62350000,1.37705,1.08303,1.5211025,,
2020-12-14,1.37532,1.37622,1.311,1.33832,264.24710000,1.37705,1.08303,1.4086425,,
2020-12-15,1.3393,1.35432,1.26391,1.27579,277.69040000,1.37705,1.08303,1.39207,,
2020-12-16,1.27599,1.34745,1.20201,1.26265,769.02840000,1.435265,1.08303,1.35927,,
2020-12-17,1.26268,1.29249,1.11407,1.20112,524.27880000,1.391295,1.08303,1.394075,,
