OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2020-08-10,5010.59,7199.0,5010.59,6229.19,1559.61022100,,,,,27500.03
2020-08-11,6229.16,6783.43,5680.0,6040.2,848.97950700,,,,,34045.73
2020-08-12,6041.0,6117.51,5250.0,5749.62,793.30773200,,,,,38146.99
2020-08-13,5749.62,5814.34,3000.0,5346.99,1155.42155600,,,,,43194.45
2020-08-14,5346.92,5346.92,4684.11,5016.14,377.72066200,,,,,36893.01
2020-08-15,5016.26,5450.0,4158.57,5414.22,870.69274500,,,,,39868.08
2020-08-16,5416.21,6750.0,5171.75,6660.0,1125.18033600,,,,,35380.0
2020-08-17,6676.25,9103.93,6340.28,8900.0,1704.88173600,,,,,34885.58
2020-08-18,8900.1,12821.0,8693.0,9655.0,3150.94884600,,,,,33258.34
2020-08-19,9655.0,12777.0,9600.0,12599.72,2214.15609900,,,,,33065.96
2020-08-20,12576.36,16668.99,11418.36,15275.0,4174.07890800,,,,,30932.7
2020-08-21,15321.68,15600.0,11777.0,12296.34,2424.86230700,,,,,28071.33
2020-08-22,12296.33,14426.46,11113.97,14034.28,1301.30362600,,,,,24045.53
2020-08-23,14024.29,14100.0,12000.0,12571.37,754.84919200,,,,,25017.3
2020-08-24,12571.36,14500.0,12157.16,14466.02,767.72806200,,,,,21191.4
2020-08-25,14490.0,14773.72,12729.16,13510.2,770.20349500,,,,,25258.49
2020-08-26,13489.79,16364.43,13201.0,15677.91,920.17073500,,,,,26807.53
2020-08-27,15677.91,15899.99,13960.43,14183.1,688.00211200,,,,,31645.39
2020-08-28,14119.63,19500.0,14017.07,18848.99,2354.10085000,,,,,30621.02
2020-08-29,18781.52,27547.33,17829.53,27400.0,4896.60590500,15273.665,,,,28460.24
2020-08-30,27407.7,38855.31,26900.0,31677.95,8439.52137300,20927.655,,,,25039.35
2020-08-31,31667.25,39690.0,29689.41,34835.3,5790.74190100,21345.0,,,,23822.04
2020-09-01,34901.94,36922.53,31000.0,31951.5,3815.86266700,21345.0,,,,22790.75
2020-09-02,31950.9,32856.4,25530.0,32000.0,3453.02521800,21924.285,,,,21047.03
2020-09-03,31840.07,33359.99,27380.31,29400.07,2613.29349100,21924.285,,,,18850.0
2020-09-04,29400.0,31600.0,22811.63,27311.92,1889.39980300,22430.875,,,,19149.94
2020-09-05,27306.36,28749.99,18056.43,22193.5,3541.94797000,23015.14,,,,19176.46
2020-09-06,22100.19,25399.33,19400.0,23797.1,2211.46838400,24191.5,,,,16601.44
2020-09-07,23806.26,24650.0,20500.0,22985.3,1148.40135200,24645.0,,,,14853.84
2020-09-08,22959.99,23499.97,21054.07,22518.41,858.93866800,25401.985,,,,16732.58
2020-09-09,22572.47,29363.97,21500.0,27500.03,2489.34889400,25401.985,,,,18040.96
2020-09-10,27551.46,34900.0,27455.81,34045.73,3215.20258100,25401.985,,,,15995.01
2020-09-11,34049.46,38333.0,31250.0,38146.99,2112.15007100,25845.0,,,,16900.0
2020-09-12,38093.39,43966.31,36205.94,43194.45,3002.97163900,28061.735,,,,16521.11
2020-09-13,43257.62,43317.18,32500.0,36893.01,2757.64662700,28347.735,,,,15634.07
